Feature,Importance
distance_from_last_txn_km,0.10463399222946539
beneficiary_age_days,0.08755997439279863
location_risk_score,0.07428344717783511
daily_transaction_amount,0.057146215695524624
amount_percentile,0.05334676190040522
amount_vs_user_avg,0.051929560072935886
behavior_deviation_score,0.04952115585647479
transaction_hour,0.04435961040864209
beneficiary_risk_score,0.042675580571334734
amount_z_score,0.04065327864549606
user_transaction_std,0.03667792216262922
user_avg_daily_transactions,0.03520059467541089
is_new_device,0.03214058500693559
amount_last_1_hour,0.030631630524253852
user_avg_transaction_hour,0.03015802296689259
moving_average_deviation,0.029880491721820654
amount_last_5_min,0.029056054092644647
transaction_amount,0.020734646748974964
beneficiary_unique_senders_24h,0.019750522838918916
user_avg_transaction_amount,0.01897971510665757
beneficiary_transaction_count_24h,0.016141797742096172
transaction_type_Bill Payment,0.013280628681659107
transactions_last_1_hour,0.011761974832127134
beneficiaries_last_1_hour,0.0108958398988905
identical_amount_count_24h,0.010519550978803537
transactions_last_5_min,0.008650579158463106
daily_transaction_count,0.006597887352121856
day_of_week_Friday,0.006118176824350358
transactions_last_1_min,0.005635019839052516
device_account_count,0.005441256932147838
day_of_week_Tuesday,0.0036812890993827203
impossible_travel_flag,0.0036221335324996733
day_of_week_Thursday,0.002777218324408986
is_new_location,0.0013294159451660956
device_change_recent,0.0009896262179000693
device_fraud_history,0.0009802339462308236
day_of_week_Wednesday,0.000613928129869373
day_of_week_Sunday,0.0005646866244716233
transaction_type_Merchant,0.0003725892308242521
transaction_type_P2M,0.0002768102084601938
transaction_type_P2P,0.00013660849615710748
transaction_type_Recharge,0.00012955296492464177
day_of_week_Saturday,0.00011150339948294898
is_new_beneficiary,4.18752284509596e-05
day_of_week_Monday,1.0053616007160424e-05
