Feature,Importance
transaction_type_Bill Payment,0.08574638010212042
amount_z_score,0.08066393989997811
transaction_amount,0.057714072550657976
distance_from_last_txn_km,0.05136957159703128
amount_vs_user_avg,0.040578840674627296
is_new_beneficiary,0.04036415471552901
moving_average_deviation,0.040154854721685077
is_new_device,0.03822133458466301
user_avg_transaction_amount,0.037689973462090395
transaction_type_Recharge,0.03435988263410344
amount_percentile,0.02918258093660065
amount_last_5_min,0.02912528726098944
location_risk_score,0.02855822675931556
behavior_deviation_score,0.02815321572193905
daily_transaction_amount,0.0261057441260546
day_of_week_Friday,0.02573488123861877
day_of_week_Tuesday,0.02495734725270109
transaction_type_P2M,0.02344032013178735
transaction_hour,0.02316843125345581
transaction_type_P2P,0.021828540982864245
amount_last_1_hour,0.018955850563954706
identical_amount_count_24h,0.018499538628718063
device_fraud_history,0.017468897217056013
impossible_travel_flag,0.014358852554031718
beneficiary_risk_score,0.013686573770237334
beneficiary_age_days,0.013191519295607431
day_of_week_Sunday,0.012933310015621612
transactions_last_1_hour,0.012629216712656504
transactions_last_5_min,0.012535683591165922
day_of_week_Thursday,0.012057981719248547
transactions_last_1_min,0.01098211335793149
beneficiaries_last_1_hour,0.009534606906065573
day_of_week_Monday,0.008750559880719837
is_new_location,0.007942245035036393
device_account_count,0.007300974727483902
daily_transaction_count,0.006156870630471373
transaction_type_Merchant,0.005863993494157529
beneficiary_unique_senders_24h,0.005331080040145265
day_of_week_Saturday,0.004878761531232774
beneficiary_transaction_count_24h,0.004646515093882923
user_transaction_std,0.004205791191331905
day_of_week_Wednesday,0.0037159498007349116
device_change_recent,0.003037928292647388
user_avg_transaction_hour,0.0025487883122955997
user_avg_daily_transactions,0.0016688170307525574
