Feature,Importance
moving_average_deviation,0.3829365710748218
amount_vs_user_avg,0.3287210325465749
daily_transaction_amount,0.10097815109293244
transaction_amount,0.0979418287102656
amount_z_score,0.0678530755169858
user_avg_transaction_amount,0.01353610771257539
user_transaction_std,0.004960075677502049
daily_transaction_count,0.0009162420002287679
transaction_hour,0.0005325436121818255
beneficiary_risk_score,0.0002777259144750706
transaction_type_P2P,0.0002748362992041741
day_of_week_Tuesday,0.0002656003136212683
day_of_week_Monday,0.00019421880262365264
day_of_week_Friday,0.00017361272304123479
transaction_type_Recharge,0.0001143013832848192
transaction_type_Merchant,9.298972440986449e-05
day_of_week_Saturday,7.786049856814643e-05
day_of_week_Sunday,7.119143053481558e-05
day_of_week_Wednesday,4.2267387078205636e-05
day_of_week_Thursday,3.9767579090444793e-05
is_new_beneficiary,0.0
behavior_deviation_score,0.0
user_avg_transaction_hour,0.0
user_avg_daily_transactions,0.0
identical_amount_count_24h,0.0
beneficiary_age_days,0.0
beneficiary_transaction_count_24h,0.0
beneficiary_unique_senders_24h,0.0
amount_last_5_min,0.0
transactions_last_1_hour,0.0
transactions_last_5_min,0.0
transactions_last_1_min,0.0
impossible_travel_flag,0.0
is_new_location,0.0
distance_from_last_txn_km,0.0
location_risk_score,0.0
device_change_recent,0.0
device_fraud_history,0.0
device_account_count,0.0
is_new_device,0.0
transaction_type_Bill Payment,0.0
amount_last_1_hour,0.0
beneficiaries_last_1_hour,0.0
amount_percentile,0.0
