Feature,Importance
moving_average_deviation,0.7334083645690203
transaction_amount,0.04906744518207232
amount_z_score,0.029762488663737267
amount_vs_user_avg,0.02916832084401962
daily_transaction_amount,0.02385769123825833
transaction_type_P2P,0.01839287774606478
day_of_week_Tuesday,0.01662178846317263
day_of_week_Sunday,0.014997306394770838
day_of_week_Friday,0.013399183367851456
day_of_week_Monday,0.010776818813728915
transaction_type_Bill Payment,0.010216054704730724
transaction_type_Merchant,0.007788508549623737
day_of_week_Wednesday,0.007033851759238162
daily_transaction_count,0.006908980644678495
user_avg_transaction_amount,0.005671471521355951
transaction_type_Recharge,0.005293290997492649
day_of_week_Saturday,0.005265166890301667
day_of_week_Thursday,0.004712757316386551
user_transaction_std,0.0036610053696049514
beneficiary_risk_score,0.002270084036807016
transaction_hour,0.0017265429270835414
is_new_beneficiary,0.0
user_avg_transaction_hour,0.0
user_avg_daily_transactions,0.0
identical_amount_count_24h,0.0
behavior_deviation_score,0.0
beneficiary_transaction_count_24h,0.0
beneficiary_age_days,0.0
amount_last_5_min,0.0
transactions_last_1_hour,0.0
transactions_last_5_min,0.0
transactions_last_1_min,0.0
impossible_travel_flag,0.0
is_new_location,0.0
distance_from_last_txn_km,0.0
location_risk_score,0.0
device_change_recent,0.0
device_fraud_history,0.0
device_account_count,0.0
is_new_device,0.0
beneficiary_unique_senders_24h,0.0
beneficiaries_last_1_hour,0.0
amount_percentile,0.0
amount_last_1_hour,0.0
